# Est.,TiempoEstudio,Asistencia,Participacion,SituacionEconomica,Rendimiento
1,Alto,Alta,Alta,Buena,Excelente
2,Medio,Media,Baja,Mala,Regular
3,Bajo,Baja,Baja,Mala,Deficiente
4,Alto,Alta,Media,Buena,Bueno
5,Medio,Media,Media,Buena,Bueno
6,Alto,Alta,Alta,Buena,Excelente
7,Bajo,Baja,Baja,Mala,Deficiente
8,Medio,Alta,Media,Buena,Bueno
9,Alto,Media,Alta,Buena,Excelente
10,Bajo,Baja,Media,Mala,Regular
11,Alto,Alta,Alta,Mala,Bueno
12,Medio,Alta,Alta,Buena,Excelente
13,Bajo,Media,Baja,Mala,Regular
14,Alto,Alta,Media,Buena,Excelente
15,Medio,Media,Baja,Mala,Regular
16,Alto,Alta,Alta,Buena,Excelente
17,Bajo,Baja,Baja,Mala,Deficiente
18,Medio,Alta,Media,Buena,Bueno
19,Alto,Media,Alta,Buena,Excelente
20,Bajo,Baja,Media,Mala,Deficiente
21,Medio,Media,Media,Buena,Bueno
22,Alto,Alta,Baja,Buena,Bueno
23,Bajo,Baja,Baja,Mala,Deficiente
24,Medio,Alta,Alta,Buena,Excelente
25,Alto,Media,Media,Buena,Bueno
26,Bajo,Media,Baja,Mala,Regular
27,Alto,Alta,Alta,Buena,Excelente
28,Medio,Media,Media,Mala,Regular
29,Bajo,Baja,Media,Mala,Deficiente
30,Alto,Alta,Media,Buena,Excelente
